,paper_id,all_content,only_nouns,keywords
0,1609,"['model', 'undesir', 'factor', 'effici', 'evalu', 'data', 'envelop', 'analysi', 'dea', 'measur', 'rel', 'effici', 'decis', 'make', 'unit', 'dmu', 'multipl', 'perform', 'factor', 'group', 'output', 'input', 'effici', 'frontier', 'determin', 'ineffici', 'dmu', 'improv', 'perform', 'reach', 'effici', 'frontier', 'increas', 'current', 'output', 'level', 'decreas', 'current', 'input', 'level', 'desir', 'good', 'undesir', 'bad', 'factor', 'present', 'exampl', 'ineffici', 'exist', 'product', 'process', 'final', 'product', 'manufactur', 'product', 'wast', 'pollut', 'output', 'wast', 'pollut', 'undesir', 'reduc', 'improv', 'perform', 'use', 'classif', 'invari', 'properti', 'standard', 'dea', 'model', 'use', 'improv', 'perform', 'increas', 'desir', 'output', 'decreas', 'undesir', 'output', 'method', 'appli', 'situat', 'input', 'need', 'increas', 'improv', 'perform', 'linear', 'convex', 'dea', 'preserv', 'propos']","['undesir', 'factor', 'evalu', 'data', 'envelop', 'analysi', 'dea', 'measur', 'rel', 'effici', 'decis', 'unit', 'dmu', 'multipl', 'perform', 'factor', 'output', 'input', 'effici', 'frontier', 'ineffici', 'dmu', 'perform', 'reach', 'effici', 'frontier', 'current', 'output', 'level', 'current', 'input', 'level', 'desir', 'good', 'undesir', 'bad', 'factor', 'present', 'exampl', 'ineffici', 'product', 'final', 'product', 'product', 'pollut', 'output', 'wast', 'pollut', 'undesir', 'reduc', 'improv', 'perform', 'classif', 'invari', 'properti', 'standard', 'dea', 'model', 'improv', 'perform', 'desir', 'output', 'undesir', 'output', 'method', 'situat', 'input', 'perform', 'linear', 'convex', 'dea', 'propos']","['classif', 'desir', 'effici', 'wast', 'output', 'analysi', 'process', 'effici', 'model', 'unit', 'current', 'program', 'properti', 'evalu', 'final', 'envelop', 'perform', 'product', 'multipl', 'invari', 'data', 'output', 'undesir', 'decis', 'frontier', 'input', 'factor', 'manufactur', 'linear', 'product', 'make', 'factor', 'pollut', 'level']"
1,149,"['extend', 'kamp', 'theorem', 'model', 'time', 'granular', 'paper', 'gener', 'kamp', 'theorem', 'rel', 'function', 'complet', 'oper', 'prove', 'gener', 'consist', 'show', 'function', 'complet', 'express', 'tempor', 'oper', 'respect', 'extens', 'order', 'theori', 'linear', 'order', 'mfo', 'extra', 'binari', 'relat', 'symbol', 'result', 'motiv', 'search', 'modal', 'languag', 'capabl', 'express', 'properti', 'oper', 'suitabl', 'model', 'time', 'granular', 'omega', 'layer', 'tempor', 'structur']","['kamp', 'theorem', 'model', 'time', 'granular', 'paper', 'gener', 'kamp', 'theorem', 'rel', 'function', 'complet', 'oper', 'gener', 'function', 'complet', 'express', 'tempor', 'oper', 'extens', 'order', 'theori', 'linear', 'order', 'extra', 'binari', 'relat', 'symbol', 'result', 'search', 'modal', 'languag', 'capabl', 'properti', 'oper', 'suitabl', 'model', 'time', 'granular', 'tempor', 'structur']","['theorem', ""'s"", 'oper', 'model', 'order', 'order', 'function', 'kamp', 'symbol', 'complet', 'layer', 'relat', 'structur', 'binari', 'oper', 'granular', 'tempor', 'time', 'theori', 'linear', 'omega']"
2,1771,"['quadrat', 'gauss', 'sum', 'finit', 'commut', 'ring', 'articl', 'explicitli', 'determin', 'quadrat', 'gauss', 'sum', 'finit', 'commut', 'ring']","['quadrat', 'gauss', 'sum', 'commut', 'ring', 'articl', 'quadrat', 'gauss', 'sum', 'finit', 'commut', 'ring']","['commut', 'gauss', 'ring', 'finit', 'sum', 'quadrat']"
3,1619,"['rate', 'alloc', 'video', 'transmiss', 'lossi', 'correl', 'network', 'novel', 'rate', 'alloc', 'algorithm', 'video', 'transmiss', 'lossi', 'network', 'subject', 'bursti', 'packet', 'loss', 'present', 'gilbert', 'elliot', 'model', 'use', 'encod', 'drive', 'select', 'code', 'paramet', 'experiment', 'result', 'use', '26l', 'test', 'model', 'signific', 'perform', 'improv', 'respect', 'assumpt', 'independ', 'packet', 'loss']","['rate', 'alloc', 'video', 'transmiss', 'lossi', 'network', 'novel', 'rate', 'alloc', 'video', 'transmiss', 'lossi', 'network', 'bursti', 'packet', 'loss', 'gilbert', 'elliot', 'model', 'drive', 'select', 'paramet', 'experiment', 'result', 'test', 'model', 'signific', 'perform', 'improv', 'respect', 'assumpt', 'independ', 'packet', 'loss']","['gilbert', 'paramet', 'test', 'correl', 'video', 'lossi', 'alloc', 'elliot', 'transmiss', 'algorithm', 'loss', 'rate', 'code', 'h.26l', 'network', 'packet', 'model', 'bursti']"
4,1559,"['comparison', 'theorem', 'iter', 'method', 'precondition', 'sub', 'max', 'gunawardena', '1991', 'report', 'modifi', 'gauss', 'seidel', 'method', 'precondition', 'articl', 'propos', 'use', 'precondition', 'sub', 'max', 'instead', 'sub', 'max', 'construct', 'largest', 'element', 'row', 'upper', 'triangular', 'use', 'lemma', 'establish', 'neumann', 'plemmon', '1987', 'comparison', 'theorem', 'propos', 'method', 'simpl', 'numer', 'exampl', 'given']","['comparison', 'theorem', 'iter', 'method', 'precondition', 'gunawardena', 'gauss', 'seidel', 'method', 'precondition', 'articl', 'propos', 'use', 'precondition', 'max', 'sub', 'max', 'largest', 'element', 'row', 'triangular', 'lemma', 'plemmon', 'comparison', 'theorem', 'simpl', 'numer', 'exampl']","['method', 'seidel', 'gauss', 'comparison', 'modifi', 'iter', 'theorem', 'precondition']"
5,1761,"['superconverg', 'discontinu', 'galerkin', 'method', 'nonstationari', 'hyperbol', 'equat', 'order', 'nonstationari', 'hyperbol', 'equat', 'take', 'piecewis', 'linear', 'discontinu', 'galerkin', 'solver', 'prove', 'uniform', 'rectangular', 'partit', 'discontinu', 'solver', 'postprocess', 'half', 'approxim', 'order', 'half', 'order', 'higher', 'optim', 'estim', 'lesaint', 'raviart', '1974', 'rectangular', 'partit']","['superconverg', 'discontinu', 'galerkin', 'method', 'nonstationari', 'hyperbol', 'equat', 'order', 'nonstationari', 'hyperbol', 'equat', 'piecewis', 'discontinu', 'galerkin', 'solver', 'uniform', 'rectangular', 'partit', 'discontinu', 'solver', 'half', 'approxim', 'order', 'half', 'order', 'higher', 'optim', 'estim', 'lesaint', 'raviart', 'rectangular', 'partit']","['method', 'equat', 'partit', 'solver', 'order', 'piecewis', 'hyperbol', 'approxim', 'galerkin', 'superconverg', 'discontinu', 'nonstationari', 'linear', 'rectangular']"
6,1833,"['british', 'standard', '7666', 'framework', 'geocod', 'land', 'properti', 'inform', 'articl', 'examin', 'role', 'british', 'standard', '7666', 'develop', 'nation', 'framework', 'geocod', 'land', 'properti', 'inform', 'unit', 'kingdom', 'author', 'assess', 'local', 'author', 'agenc', 'concern', 'properti', 'address', 'dataset', 'cope', 'introduct', 'british', 'standard', '7666', 'examin', 'prospect', 'limit', 'develop', 'british', 'standard', '7666', 'part', 'compris', 'specif', 'street', 'gazett', 'land', 'properti', 'gazett', 'address', 'public', 'right', 'way', 'organis', 'coordin', 'introduct', 'british', 'standard', '7666', 'improv', 'develop', 'agenc', 'idea', 'overse', 'develop', 'mainten', 'nation', 'land', 'properti', 'gazett', 'nlpg', 'base', 'british', 'standard', '7666', 'introduct', 'new', 'address', 'standard', 'mainli', 'prompt', 'britain', 'effort', 'set', 'nation', 'cadastr', 'servic', 'replac', 'obsolesc', 'properti', 'registr', 'current', 'place']","['british', 'standard', 'framework', 'land', 'properti', 'inform', 'articl', 'role', 'british', 'standard', 'develop', 'nation', 'framework', 'land', 'properti', 'inform', 'unit', 'kingdom', 'author', 'local', 'author', 'agenc', 'concern', 'properti', 'address', 'dataset', 'introduct', 'british', 'standard', 'prospect', 'limit', 'develop', 'british', 'standard', 'part', 'specif', 'street', 'gazett', 'land', 'properti', 'gazett', 'public', 'right', 'way', 'organis', 'introduct', 'british', 'standard', 'improv', 'develop', 'agenc', 'idea', 'develop', 'mainten', 'nation', 'land', 'properti', 'gazett', 'nlpg', 'british', 'standard', 'introduct', 'new', 'standard', 'britain', 'effort', 'nation', 'cadastr', 'servic', 'obsolesc', 'properti', 'registr', 'place']","['unit', 'uk', 'develop', 'author', 'system', 'idea', 'address', 'geocod', '7666', 'public', 'address', 'way', 'kingdom', 'british', 'inform', 'address', 'improv', 'dataset', 'land', 'properti', 'standard', 'nlpg', 'cadastr', 'framework', 'street', 'gazett', 'servic', 'right', 'local', 'agenc', 'nation', 'registr']"
7,1876,"['develop', 'casc', 'autom', 'theorem', 'prove', 'research', 'make', 'theoret', 'advanc', 'need', 'way', 'demonstr', 'advanc', 'realli', 'doe', 'gener', 'overal', 'posit', 'consequ', 'perform', 'necessari', 'evalu', 'set', 'problem', 'suffici', 'larg', 'divers', 'repres', 'intend', 'applic', 'area', 'small', 'step', 'evalu', 'commun', 'competit', 'cade', 'atp', 'competit', 'casc', 'run', 'annual', '1996', 'competit', 'difficult', 'design', 'organ', 'instanc', 'run', 'year', 'order', 'obtain', 'benefit', 'competit', 'thoroughli', 'organ', 'event', 'unambigu', 'motiv', 'design', 'necessari', 'issu', 'relev', 'casc', 'design', 'inevit', 'constraint', 'emerg', 'issu', 'choic', 'decis', 'paper', 'describ', 'evolut', 'casc', 'pay', 'particular', 'attent', 'design', 'design', 'chang', 'organ']","['develop', 'casc', 'theorem', 'research', 'theoret', 'advanc', 'way', 'demonstr', 'advanc', 'gener', 'posit', 'consequ', 'perform', 'necessari', 'evalu', 'problem', 'larg', 'divers', 'repres', 'applic', 'area', 'small', 'step', 'evalu', 'commun', 'competit', 'cade', 'atp', 'competit', 'casc', 'competit', 'difficult', 'design', 'instanc', 'year', 'order', 'benefit', 'competit', 'event', 'unambigu', 'design', 'necessari', 'issu', 'casc', 'design', 'inevit', 'constraint', 'issu', 'choic', 'decis', 'paper', 'evolut', 'casc', 'particular', 'attent', 'design', 'design', 'chang', 'organ']","['intellig', 'order', 'competit', 'evalu', 'logic', 'prove', 'autom', 'ai', 'deduct', 'perform', 'cade', 'artifici', 'classic', 'theorem', 'casc', 'atp']"
8,1658,"['chao', 'theori', 'framework', 'studi', 'inform', 'system', 'paper', 'introduc', 'chao', 'theori', 'mean', 'studi', 'inform', 'system', 'argu', 'chao', 'theori', 'combin', 'new', 'techniqu', 'discov', 'pattern', 'complex', 'quantit', 'qualit', 'evid', 'offer', 'potenti', 'substant', 'approach', 'understand', 'natur', 'inform', 'system', 'varieti', 'context', 'paper', 'introduc', 'chao', 'theori', 'concept', 'way', 'illustr', 'research', 'design']","['chao', 'theori', 'framework', 'inform', 'system', 'paper', 'chao', 'theori', 'inform', 'system', 'chao', 'theori', 'new', 'techniqu', 'pattern', 'complex', 'quantit', 'qualit', 'evid', 'offer', 'substant', 'approach', 'understand', 'natur', 'inform', 'system', 'varieti', 'context', 'paper', 'introduc', 'theori', 'concept', 'way', 'illustr', 'research', 'design']","['pattern', 'theori', 'system', 'discoveri', 'quantit', 'inform', 'evid', 'qualit', 'complex', 'chao']"
9,1745,"['approxim', 'relax', 'descent', 'method', 'optim', 'control', 'problem', 'consid', 'optim', 'control', 'problem', 'system', 'govern', 'ordinari', 'differenti', 'equat', 'control', 'constraint', 'convex', 'assumpt', 'data', 'problem', 'reformul', 'relax', 'form', 'relax', 'state', 'equat', 'discret', 'implicit', 'trapezoid', 'scheme', 'relax', 'control', 'approxim', 'piecewis', 'constant', 'relax', 'control', 'propos', 'combin', 'descent', 'discret', 'method', 'gener', 'sequenc', 'discret', 'relax', 'control', 'progress', 'refin', 'discret', 'adjoint', 'discret', 'state', 'equat', 'defin', 'use', 'iter', 'approxim', 'deriv', 'cost', 'function', 'defin', 'discret', 'continu', 'adjoint', 'equat', 'integr', 'involv', 'appropri', 'trapezoid', 'scheme', 'prove', 'accumul', 'point', 'sequenc', 'construct', 'method', 'satisfi', 'strong', 'relax', 'necessari', 'condit', 'optim', 'continu', 'problem', 'final', 'comput', 'relax', 'control', 'easili', 'approxim', 'piecewis', 'constant', 'classic', 'control']","['approxim', 'descent', 'method', 'optim', 'control', 'problem', 'optim', 'control', 'problem', 'system', 'ordinari', 'differenti', 'equat', 'control', 'convex', 'assumpt', 'problem', 'relax', 'form', 'state', 'equat', 'implicit', 'trapezoid', 'scheme', 'relax', 'control', 'piecewis', 'constant', 'relax', 'control', 'descent', 'discret', 'method', 'gener', 'sequenc', 'relax', 'control', 'discret', 'adjoint', 'discret', 'state', 'equat', 'use', 'iter', 'approxim', 'deriv', 'cost', 'function', 'continu', 'adjoint', 'equat', 'integr', 'involv', 'appropri', 'trapezoid', 'prove', 'accumul', 'point', 'sequenc', 'method', 'satisfi', 'strong', 'relax', 'necessari', 'condit', 'continu', 'problem', 'relax', 'control', 'piecewis', 'constant', 'classic', 'control']","['trapezoid', 'implicit', 'scheme', 'scheme', 'constant', 'equat', 'descent', 'function', 'sequenc', 'discret', 'optim', 'control', 'equat', 'differenti', 'piecewis', 'discret', 'control', 'approxim', 'refin', 'method', 'approxim', 'problem', 'cost', 'deriv', 'relax', 'ordinari', 'state']"
