,paper_id,all_content,only_nouns,keywords,all_content_sentences
0,1797,"['use', 'period', 'monoton', 'activ', 'function', 'multilay', 'feedforward', 'neural', 'network', 'train', 'extend', 'kalman', 'filter', 'algorithm', 'author', 'investig', 'converg', 'prune', 'perform', 'multilay', 'feedforward', 'neural', 'network', 'differ', 'type', 'neuron', 'activ', 'function', 'solv', 'variou', 'problem', 'type', 'activ', 'function', 'adopt', 'network', 'tradit', 'sigmoid', 'function', 'sinusoid', 'function', 'period', 'function', 'consid', 'combin', 'function', 'speed', 'learn', 'reduc', 'network', 'size', 'extend', 'kalman', 'filter', 'ekf', 'algorithm', 'conjunct', 'prune', 'method', 'use', 'train', 'network', 'correspond', 'network', 'appli', 'solv', 'typic', 'problem', 'point', 'xor', 'logic', 'function', 'pariti', 'gener', 'handwritten', 'digit', 'recognit', 'piecewis', 'linear', 'function', 'approxim', 'sunspot', 'seri', 'predict', 'simul', 'result', 'period', 'activ', 'function', 'perform', 'better', 'monoton', 'one', 'solv', 'multiclust', 'classif', 'problem', 'combin', 'period', 'activ', 'function', 'possess', 'fast', 'converg', 'multiclust', 'classif', 'capabl', 'sinusoid', 'activ', 'function', 'keep', 'robust', 'properti', 'sigmoid', 'function', 'requir', 'model', 'unknown', 'system']","['use', 'period', 'monoton', 'activ', 'function', 'neural', 'network', 'extend', 'kalman', 'filter', 'algorithm', 'author', 'converg', 'perform', 'multilay', 'neural', 'network', 'differ', 'type', 'neuron', 'activ', 'function', 'variou', 'problem', 'type', 'function', 'network', 'tradit', 'sigmoid', 'function', 'sinusoid', 'function', 'period', 'function', 'combin', 'function', 'network', 'size', 'kalman', 'filter', 'ekf', 'algorithm', 'conjunct', 'method', 'train', 'network', 'network', 'typic', 'problem', 'xor', 'logic', 'function', 'pariti', 'gener', 'digit', 'recognit', 'piecewis', 'linear', 'function', 'approxim', 'sunspot', 'seri', 'predict', 'simul', 'result', 'period', 'activ', 'function', 'better', 'monoton', 'one', 'multiclust', 'classif', 'problem', 'period', 'activ', 'function', 'fast', 'converg', 'multiclust', 'classif', 'capabl', 'activ', 'function', 'robust', 'properti', 'sigmoid', 'function', 'unknown', 'system']","['sinusoid', 'classif', 'predict', 'filter', 'point', 'function', 'approxim', 'kalman', 'problem', 'sunspot', 'extend', 'ekf', 'linear', 'multilay', 'prune', 'pariti', 'digit', 'algorithm', 'logic', 'function', 'converg', 'neural', 'period', 'monoton', 'recognit', 'feedforward', 'activ', 'piecewis', 'perform', 'network', 'gener', '4', 'multiclust', 'handwritten', 'sigmoid', 'neuron', 'xor', 'seri']","use of periodic and monotonic activation functions in multilayer feedforward neural networks trained by extended kalman filter algorithm the authors investigate the convergence and pruning performance of multilayer feedforward neural networks with different types of neuronal activation functions in solving various problems
three types of activation functions are adopted in the network namely the traditional sigmoid function the sinusoidal function and a periodic function that can be considered as a combination of the first two functions
to speed up the learning as well as to reduce the network size the extended kalman filter ekf algorithm conjunct with a pruning method is used to train the network
the corresponding networks are applied to solve five typical problems namely 4 point xor logic function parity generation handwritten digit recognition piecewise linear function approximation and sunspot series prediction
simulation results show that periodic activation functions perform better than monotonic ones in solving multicluster classification problems
moreover the combined periodic activation function is found to possess the fast convergence and multicluster classification capabilities of the sinusoidal activation function while keeping the robustness property of the sigmoid function required in the modelling of unknown systems"
1,1603,"['exploit', 'structur', 'adapt', 'dynam', 'program', 'algorithm', 'stochast', 'batch', 'servic', 'problem', 'purpos', 'paper', 'illustr', 'import', 'use', 'structur', 'result', 'dynam', 'program', 'algorithm', 'consid', 'problem', 'approxim', 'optim', 'strategi', 'batch', 'servic', 'custom', 'servic', 'station', 'custom', 'stochast', 'arriv', 'station', 'wait', 'serv', 'incur', 'wait', 'cost', 'servic', 'cost', 'servic', 'custom', 'perform', 'group', 'fix', 'servic', 'capac', 'investig', 'structur', 'cost', 'function', 'establish', 'theoret', 'result', 'includ', 'monoton', 'valu', 'function', 'use', 'adapt', 'dynam', 'program', 'monoton', 'algorithm', 'use', 'structur', 'preserv', 'monoton', 'estim', 'iter', 'approxim', 'valu', 'function', 'problem', 'homogen', 'custom', 'solv', 'optim', 'mean', 'comparison', 'evalu', 'heurist', 'final', 'compar', 'algorithm', 'classic', 'forward', 'dynam', 'program', 'method']","['structur', 'adapt', 'dynam', 'program', 'algorithm', 'stochast', 'batch', 'servic', 'problem', 'purpos', 'paper', 'illustr', 'import', 'structur', 'result', 'dynam', 'program', 'algorithm', 'consid', 'problem', 'optim', 'strategi', 'servic', 'custom', 'servic', 'station', 'custom', 'arriv', 'station', 'wait', 'cost', 'servic', 'cost', 'servic', 'custom', 'group', 'servic', 'capac', 'investig', 'structur', 'cost', 'function', 'theoret', 'result', 'monoton', 'valu', 'function', 'adapt', 'dynam', 'monoton', 'algorithm', 'structur', 'preserv', 'monoton', 'iter', 'valu', 'function', 'problem', 'homogen', 'custom', 'comparison', 'evalu', 'heurist', 'algorithm', 'classic', 'forward', 'dynam', 'program', 'method']","['station', 'problem', 'function', 'approxim', 'cost', 'strategi', 'monoton', 'stochast', 'program', 'adapt', 'servic', 'result', 'structur', 'capac', 'dynam', 'batch', 'fix', 'valu', 'theori', 'wait', 'inventori', 'structur', 'optim', 'algorithm']","exploiting structure in adaptive dynamic programming algorithms for a stochastic batch service problem the purpose of this paper is to illustrate the importance of using structural results in dynamic programming algorithms
we consider the problem of approximating optimal strategies for the batch service of customers at a service station
customers stochastically arrive at the station and wait to be served incurring a waiting cost and a service cost
service of customers is performed in groups of a fixed service capacity
we investigate the structure of cost functions and establish some theoretical results including monotonicity of the value functions
then we use our adaptive dynamic programming monotone algorithm that uses structure to preserve monotonicity of the estimates at each iterations to approximate the value functions
since the problem with homogeneous customers can be solved optimally we have a means of comparison to evaluate our heuristic
finally we compare our algorithm to classical forward dynamic programming methods"
2,1867,"['optim', 'base', 'design', 'fix', 'order', 'control', 'command', 'follow', 'discret', 'time', 'scalar', 'system', 'propos', 'approach', 'design', 'feedback', 'control', 'fix', 'order', 'minim', 'upper', 'bound', 'peak', 'magnitud', 'track', 'error', 'given', 'command', 'input', 'work', 'make', 'use', 'linear', 'program', 'design', 'class', 'close', 'loop', 'system', 'propos', 'reject', 'non', 'zero', 'initi', 'condit', 'bound', 'disturb', 'incorpor', 'perform', 'robust', 'form', 'guarante', 'upper', 'bound', 'peak', 'magnitud', 'track', 'error', 'plant', 'coprim', 'factor', 'uncertainti']","['optim', 'design', 'order', 'control', 'discret', 'time', 'scalar', 'system', 'propos', 'approach', 'feedback', 'control', 'order', 'minim', 'upper', 'bound', 'peak', 'magnitud', 'error', 'command', 'input', 'work', 'linear', 'design', 'class', 'loop', 'system', 'reject', 'non', 'initi', 'condit', 'disturb', 'incorpor', 'perform', 'robust', 'form', 'upper', 'bound', 'peak', 'magnitud', 'error', 'plant', 'coprim', 'factor', 'uncertainti']","['feedback', 'discret', 'loop', 'factor', 'robust', 'command', 'linear', 'program', 'close', 'base', 'optim', 'system', 'track', 'uncertainti', 'order', 'control', 'upper', 'coprim', 'design', 'fix', 'guarante', 'follow', 'perform', 'time', 'bound', 'scalar', 'error']","optimization based design of fixed order controllers for command following for discrete time scalar systems we propose an approach for designing feedback controllers of fixed order to minimize an upper bound on the peak magnitude of the tracking error to a given command input
the work makes use of linear programming to design over a class of closed loop systems proposed for the rejection of non zero initial conditions and bounded disturbances
we incorporate performance robustness in the form of a guaranteed upper bound on the peak magnitude of the tracking error under plant coprime factor uncertainty"
3,1745,"['approxim', 'relax', 'descent', 'method', 'optim', 'control', 'problem', 'consid', 'optim', 'control', 'problem', 'system', 'govern', 'ordinari', 'differenti', 'equat', 'control', 'constraint', 'convex', 'assumpt', 'data', 'problem', 'reformul', 'relax', 'form', 'relax', 'state', 'equat', 'discret', 'implicit', 'trapezoid', 'scheme', 'relax', 'control', 'approxim', 'piecewis', 'constant', 'relax', 'control', 'propos', 'combin', 'descent', 'discret', 'method', 'gener', 'sequenc', 'discret', 'relax', 'control', 'progress', 'refin', 'discret', 'adjoint', 'discret', 'state', 'equat', 'defin', 'use', 'iter', 'approxim', 'deriv', 'cost', 'function', 'defin', 'discret', 'continu', 'adjoint', 'equat', 'integr', 'involv', 'appropri', 'trapezoid', 'scheme', 'prove', 'accumul', 'point', 'sequenc', 'construct', 'method', 'satisfi', 'strong', 'relax', 'necessari', 'condit', 'optim', 'continu', 'problem', 'final', 'comput', 'relax', 'control', 'easili', 'approxim', 'piecewis', 'constant', 'classic', 'control']","['approxim', 'descent', 'method', 'optim', 'control', 'problem', 'optim', 'control', 'problem', 'system', 'ordinari', 'differenti', 'equat', 'control', 'convex', 'assumpt', 'problem', 'relax', 'form', 'state', 'equat', 'implicit', 'trapezoid', 'scheme', 'relax', 'control', 'piecewis', 'constant', 'relax', 'control', 'descent', 'discret', 'method', 'gener', 'sequenc', 'relax', 'control', 'discret', 'adjoint', 'discret', 'state', 'equat', 'use', 'iter', 'approxim', 'deriv', 'cost', 'function', 'continu', 'adjoint', 'equat', 'integr', 'involv', 'appropri', 'trapezoid', 'prove', 'accumul', 'point', 'sequenc', 'method', 'satisfi', 'strong', 'relax', 'necessari', 'condit', 'continu', 'problem', 'relax', 'control', 'piecewis', 'constant', 'classic', 'control']","['relax', 'descent', 'discret', 'approxim', 'problem', 'cost', 'approxim', 'function', 'method', 'equat', 'trapezoid', 'constant', 'equat', 'scheme', 'state', 'discret', 'sequenc', 'control', 'deriv', 'piecewis', 'differenti', 'implicit', 'refin', 'optim', 'scheme', 'control', 'ordinari']","approximate relaxed descent method for optimal control problems we consider an optimal control problem for systems governed by ordinary differential equations with control constraints
since no convexity assumptions are made on the data the problem is reformulated in relaxed form
the relaxed state equation is discretized by the implicit trapezoidal scheme and the relaxed controls are approximated by piecewise constant relaxed controls
we then propose a combined descent and discretization method that generates sequences of discrete relaxed controls and progressively refines the discretization
since here the adjoint of the discrete state equation is defined we use at each iteration an approximate derivative of the cost functional defined by discretizing the continuous adjoint equation and the integral involved by appropriate trapezoidal schemes
it is proved that accumulation points of sequences constructed by this method satisfy the strong relaxed necessary conditions for optimality for the continuous problem
finally the computed relaxed controls can be easily approximated by piecewise constant classical controls"
4,1906,"['integr', 'process', 'control', 'use', 'situ', 'sensor', 'etch', 'migrat', 'tighter', 'geometri', 'complex', 'process', 'sequenc', 'integr', 'scheme', 'requir', 'have', 'abil', 'compens', 'upstream', 'deviat', 'target', 'specif', 'do', 'ensur', 'downstream', 'process', 'sequenc', 'oper', 'work', 'progress', 'control', 'point', 'use', 'visibl', 'work', 'progress', 'qualiti', 'paramount', 'concern', 'industri', 'drive', 'reduc', 'scrap', 'improv', 'yield', 'control', 'trench', 'depth', 'assum', 'greater', 'import', 'integr', 'interferometr', 'base', 'rate', 'monitor', 'etch', 'depth', 'spacer', 'etch', 'applic', 'develop', 'control', 'paramet', 'articl', 'demonstr', 'integr', 'rate', 'monitor', 'use', 'polar', 'digit', 'signal', 'process', 'enhanc', 'control', 'etch', 'depth', 'process', 'implement', 'predict', 'endpoint', 'wafer', 'manufactur', 'environ', 'dual', 'damascen', 'trench', 'etch', 'spacer', 'etch', 'applic']","['integr', 'process', 'control', 'situ', 'sensor', 'etch', 'migrat', 'tighter', 'geometri', 'complex', 'process', 'sequenc', 'integr', 'abil', 'compens', 'upstream', 'deviat', 'specif', 'ensur', 'downstream', 'process', 'sequenc', 'work', 'progress', 'control', 'point', 'use', 'visibl', 'work', 'progress', 'qualiti', 'paramount', 'concern', 'industri', 'drive', 'scrap', 'yield', 'trench', 'depth', 'greater', 'import', 'interferometr', 'rate', 'monitor', 'etch', 'depth', 'spacer', 'etch', 'applic', 'paramet', 'articl', 'integr', 'rate', 'monitor', 'polar', 'digit', 'signal', 'process', 'enhanc', 'control', 'depth', 'process', 'predict', 'endpoint', 'wafer', 'manufactur', 'environ', 'dual', 'damascen', 'trench', 'etch', 'spacer', 'etch', 'applic']","['reduct', 'digit', 'process', 'wafer', 'depth', 'upstream', 'specif', 'point', 'compens', 'dual', 'geometri', 'environ', 'use', 'damascen', 'situ', 'polar', 'qualiti', 'monitor', 'interferometr', 'yield', 'scheme', 'predict', 'manufactur', 'spacer', 'etch', 'sequenc', 'control', 'rate', 'deviat', 'endpoint', 'target', 'visibl', 'improv', 'downstream', 'trench', 'process', 'signal', 'work', 'applic', 'progress', 'ic', 'integr', 'complex', 'sequenc', 'scrap', 'sensor', 'integr', 'interferometri']","integrated process control using an in situ sensor for etch the migration to tighter geometries and more complex process sequence integration schemes requires having the ability to compensate for upstream deviations from target specifications
doing so ensures that downstream process sequences operate on work in progress that is well within control
because point of use visibility of work in progress quality has become of paramount concern in the industry s drive to reduce scrap and improve yield controlling trench depth has assumed greater importance
an integrated interferometric based rate monitor for etch to depth and spacer etch applications has been developed for controlling this parameter
this article demonstrates that the integrated rate monitor using polarization and digital signal processing enhances control etch to depth processes and can also be implemented as a predictive endpoint in a wafer manufacturing environment for dual damascene trench etch and spacer etch applications"
5,151,"['extend', 'ctl', 'action', 'real', 'time', 'paper', 'present', 'logic', 'atctl', 'intend', 'use', 'model', 'check', 'model', 'specifi', 'lightweight', 'version', 'unifi', 'model', 'languag', 'uml', 'defin', 'formal', 'semant', 'luml', 'model', 'paper', 'goal', 'specif', 'languag', 'properti', 'fit', 'luml', 'luml', 'includ', 'state', 'action', 'real', 'time', 'atctl', 'extend', 'ctl', 'concurr', 'action', 'real', 'time', 'base', 'earlier', 'extens', 'ctl', 'nicola', 'vaandrag', 'actl', '1990', 'alur', 'tctl', '1993', 'make', 'easier', 'adapt', 'exist', 'model', 'checker', 'atctl', 'check', 'properti', 'specifi', 'atctl', 'model', 'specifi', 'luml', 'small', 'exampl', 'use', 'krono', 'model', 'checker']","['ctl', 'action', 'real', 'time', 'paper', 'present', 'logic', 'atctl', 'model', 'model', 'lightweight', 'version', 'model', 'languag', 'uml', 'formal', 'semant', 'luml', 'model', 'paper', 'goal', 'specif', 'languag', 'properti', 'luml', 'luml', 'state', 'action', 'real', 'time', 'atctl', 'ctl', 'concurr', 'action', 'real', 'time', 'extens', 'actl', 'alur', 'tctl', 'easier', 'adapt', 'model', 'checker', 'check', 'properti', 'atctl', 'model', 'small', 'exampl', 'krono', 'model', 'checker']","['logic', 'time', 'check', 'formal', 'comput', 'unifi', 'tree', 'real', 'languag', 'semant', 'specif', 'model', 'krono', 'checker', 'atctl', 'model', 'action', 'model']","extending ctl with actions and real time in this paper we present the logic atctl which is intended to be used for model checking models that have been specified in a lightweight version of the unified modelling language uml
elsewhere we have defined a formal semantics for luml to describe the models
this paper s goal is to give a specification language for properties that fits luml luml includes states actions and real time
atctl extends ctl with concurrent actions and real time
it is based on earlier extensions of ctl by r de nicola and f vaandrager actl 1990 and r alur et al tctl 1993
this makes it easier to adapt existing model checkers to atctl
to show that we can check properties specified in atctl in models specified in luml we give a small example using the kronos model checker"
6,1919,"['formal', 'convers', 'protocol', 'use', 'joint', 'intent', 'theori', 'convers', 'protocol', 'use', 'achiev', 'certain', 'goal', 'bring', 'certain', 'state', 'world', 'identifi', 'landmark', 'state', 'brought', 'goal', 'direct', 'execut', 'protocol', 'accordingli', 'landmark', 'character', 'proposit', 'true', 'state', 'repres', 'landmark', 'import', 'aspect', 'protocol', 'famili', 'convers', 'protocol', 'express', 'formal', 'partial', 'order', 'landmark', 'landmark', 'necessari', 'achiev', 'goal', 'identifi', 'concret', 'protocol', 'repres', 'joint', 'action', 'express', 'deriv', 'partial', 'order', 'landmark', 'execut', 'directli', 'joint', 'intent', 'interpret', 'approach', 'appli', 'joint', 'intent', 'theori', 'protocol', 'support', 'flexibl', 'action', 'use', 'landmark', 'shortcut', 'protocol', 'execut', 'automat', 'except', 'handl', 'correct', 'criterion', 'protocol', 'protocol', 'composit']","['formal', 'convers', 'protocol', 'joint', 'intent', 'theori', 'convers', 'protocol', 'certain', 'goal', 'certain', 'state', 'world', 'landmark', 'state', 'goal', 'execut', 'protocol', 'character', 'proposit', 'true', 'state', 'landmark', 'import', 'aspect', 'protocol', 'famili', 'convers', 'protocol', 'landmark', 'landmark', 'necessari', 'goal', 'concret', 'protocol', 'joint', 'action', 'express', 'landmark', 'joint', 'intent', 'interpret', 'joint', 'intent', 'theori', 'protocol', 'flexibl', 'action', 'landmark', 'protocol', 'execut', 'automat', 'except', 'correct', 'criterion', 'protocol', 'composit']","['execut', 'protocol', 'protocol', 'criterion', 'interact', 'state', 'correct', 'multi', 'convers', 'except', 'agent', 'finit', 'handl', 'machin', 'automat']","toward a formalism for conversation protocols using joint intention theory conversation protocols are used to achieve certain goals or to bring about certain states in the world
therefore one may identify the landmarks or the states that must be brought about during the goal directed execution of a protocol
accordingly the landmarks characterized by propositions that are true in the state represented by that landmark are the most important aspect of a protocol
families of conversation protocols can be expressed formally as partially ordered landmarks after the landmarks necessary to achieve a goal have been identified
concrete protocols represented as joint action expressions can then be derived from the partially ordered landmarks and executed directly by joint intention interpreters
this approach of applying joint intention theory to protocols also supports flexibility in the actions used to get to landmarks shortcutting protocol execution automatic exception handling and correctness criterion for protocols and protocol compositions"
7,1902,"['engin', 'plug', 'softwar', 'compon', 'support', 'collabor', 'work', 'softwar', 'applic', 'requir', 'oper', 'work', 'support', 'includ', 'collabor', 'edit', 'group', 'awar', 'version', 'messag', 'autom', 'notif', 'ordin', 'agent', 'approach', 'hard', 'code', 'facil', 'applic', 'fix', 'function', 'limit', 'abil', 'reus', 'groupwar', 'implement', 'recent', 'work', 'seamlessli', 'ad', 'capabl', 'compon', 'base', 'applic', 'set', 'collabor', 'work', 'support', 'plug', 'softwar', 'compon', 'varieti', 'applic', 'techniqu', 'descript', 'novel', 'architectur', 'user', 'interfac', 'adapt', 'implement', 'techniqu', 'collabor', 'work', 'support', 'compon', 'develop', 'report', 'experi', 'date', 'method', 'support', 'collabor', 'work', 'enhanc', 'compon', 'base', 'system', 'discuss', 'advantag', 'approach', 'convent', 'techniqu']","['engin', 'plug', 'softwar', 'compon', 'collabor', 'work', 'softwar', 'applic', 'oper', 'work', 'support', 'collabor', 'group', 'awar', 'notif', 'ordin', 'agent', 'hard', 'code', 'facil', 'applic', 'function', 'abil', 'reus', 'groupwar', 'implement', 'recent', 'work', 'capabl', 'compon', 'applic', 'collabor', 'work', 'plug', 'softwar', 'compon', 'varieti', 'applic', 'techniqu', 'descript', 'novel', 'architectur', 'user', 'interfac', 'adapt', 'implement', 'techniqu', 'collabor', 'work', 'compon', 'report', 'experi', 'date', 'method', 'collabor', 'work', 'enhanc', 'compon', 'system', 'discuss', 'advantag', 'convent', 'techniqu']","['edit', 'oper', 'applic', 'group', 'notif', 'messag', 'groupwar', 'awar', 'softwar', 'tool', 'version', 'autom', 'plug', 'compon', 'collabor', 'support', 'work']","engineering plug in software components to support collaborative work many software applications require co operative work support including collaborative editing group awareness versioning messaging and automated notification and co ordination agents
most approaches hard code such facilities into applications with fixed functionality and limited ability to reuse groupware implementations
we describe our recent work in seamlessly adding such capabilities to component based applications via a set of collaborative work supporting plug in software components
we describe a variety of applications of this technique along with descriptions of the novel architecture user interface adaptation and implementation techniques for the collaborative work supporting components that we have developed
we report on our experiences to date with this method of supporting collaborative work enhancement of component based systems and discuss the advantages of our approach over conventional techniques"
8,1730,"['meet', 'mind', 'technic', 'specialist', 'need', 'think', 'role', 'project', 'commun', 'end', 'user', 'particip', 'ensur', 'contribut', 'fulli', 'team', 'member', 'especi', 'import', 'commun', 'document', 'trade', 'off', 'includ', 'rational', 'requir', 'chang', 'impact', 'decis', 'readili', 'commun', 'stakehold']","['mind', 'technic', 'specialist', 'role', 'project', 'end', 'user', 'particip', 'contribut', 'team', 'member', 'import', 'commun', 'document', 'trade', 'off', 'rational', 'requir', 'impact', 'decis', 'stakehold']","['project', 'commun', 'technic', 'specialist', 'end', 'user']","meeting of minds technical specialists need to think about their role in it projects and how they communicate with end users and other participants to ensure they contribute fully as team members
it is especially important to communicate and document trade offs that may have to be made including the rationale behind them so that if requirements change the impact and decisions can be readily communicated to the stakeholders"
9,1860,"['art', 'cross', 'sell', 'account', 'softwar', 'market', 'account', 'softwar', 'near', 'satur', 'vendor', 'train', 'resel', 'subtleti', 'cross', 'sell', 'reward', 'great', 'key', 'know', 'focu', 'partner']","['art', 'cross', 'sell', 'softwar', 'market', 'account', 'softwar', 'satur', 'vendor', 'resel', 'subtleti', 'sell', 'reward', 'great', 'key', 'focu', 'partner']","['sell', 'softwar', 'cross', 'account', 'resel']","the art of the cross sell accounting software with the market for accounting software nearing saturation vendors are training resellers in the subtleties of the cross sell
the rewards can be great
the key is knowing when to focus and when to partner"
